address_id,customer_id,address_type,is_default,address_line1,address_line2,city,state,zip_code,country,phone,created_at
9001,1001,Shipping,Yes,9402 Peterson Drives,,Port Matthew,CO,50298,USA,001-581-896-001,2023-11-24 09:01:00
9002,1001,Billing,Yes,9402 Peterson Drives,,Port Matthew,CO,50298,USA,001-581-896-001,2023-11-24 09:01:00
9003,1002,Shipping,Yes,7525 Clark Grove Apt. 928,,East Steven,KY,84387,USA,(518)349-59310,2023-05-21 11:14:00
9004,1002,Billing,Yes,7525 Clark Grove Apt. 928,,East Steven,KY,84387,USA,(518)349-59310,2023-05-21 11:14:00
9005,1003,Shipping,Yes,653 William Course Apt. 122,,Carlsonfurt,MS,78605,USA,564-613-953767,2023-03-13 19:06:00
9006,1003,Billing,Yes,653 William Course Apt. 122,,Carlsonfurt,MS,78605,USA,564-613-953767,2023-03-13 19:06:00
9007,1004,Shipping,Yes,2880 Burns Creek,,Natashaport,IA,08093,USA,001-645-514-627,2023-12-13 19:57:00
9008,1004,Billing,Yes,2880 Burns Creek,,Natashaport,IA,08093,USA,001-645-514-627,2023-12-13 19:57:00
9009,1005,Shipping,Yes,8713 Caleb Brooks Apt. 930,,Lake Crystalbury,CA,04618,USA,001-682-827-824,2023-10-07 09:37:00
9010,1005,Billing,Yes,8713 Caleb Brooks Apt. 930,,Lake Crystalbury,CA,04618,USA,001-682-827-824,2023-10-07 09:37:00
9011,1006,Shipping,Yes,6701 Richard Junction Apt. 333,,Taylorburgh,KY,61138,USA,(399)873-7631,2023-08-05 08:01:00
9012,1006,Billing,Yes,6701 Richard Junction Apt. 333,,Taylorburgh,KY,61138,USA,(399)873-7631,2023-08-05 08:01:00
9013,1007,Shipping,Yes,60647 Henderson Street,,Mooreport,IL,08166,USA,5808132677,2023-02-17 11:14:00
9014,1007,Billing,Yes,60647 Henderson Street,,Mooreport,IL,08166,USA,5808132677,2023-02-17 11:14:00
9015,1008,Shipping,Yes,998 Donovan Ford Suite 346,,Lake Debbie,NH,41942,USA,220.381.219136,2023-09-16 17:01:00
9016,1008,Billing,Yes,998 Donovan Ford Suite 346,,Lake Debbie,NH,41942,USA,220.381.219136,2023-09-16 17:01:00
